Sno,Generic/Quantity,Package Unit,Price(in Rs.)
535,Erythromycin   250 mg,10 Tablet,19.4
536,Erythromycin   600 mg,10 Tablet,47.93
537,Erythromycin   200 mg,1.9 gm,2.3
538,Erythromycin   100 mg,60 ml,14.88
539,Doxycycline   100 mg,10 Tablet,7.95
540,Doxycycline   100 mg,6 Tablet,4.18
541,Doxycycline   50 mg,10 ml,5.6
542,Calcium Pantothenate   50 mg,10 ml,7.14
543,Quiniodochlor   250 mg,20 Blister Tablet,16.4
544,Insulin (Analogue) Lispro   100 iu,3 ml Cartridge,372.99
545,Dextrose   5% ,100 ml,13.64
546,Dextrose   5% ,250 ml,18.84
547,Dextrose   5% ,1000 ml,48.59
548,Sodium Chloride   0.9% ,100 ml,13.28
549,Sodium Chloride   0.9% ,250 ml,17.9
550,Sodium Chloride   0.9% ,1000 ml,44.89
551,Erythromycin Estolate IP   250 mg,10 1,23.87
552,Acyclovir   200 mg,1 tablet,7.3
553,Adenosine   3 mg,1 ml,114.55
554,Adrenaline Bitartrate   1 mg,1 1,37.24
555,Amiodarone   100 mg,1 tablet,6.52
556,Atorvastatin   5 mg,1 tablet,3.82
557,Atropine Sulphate   .6 mg,1 ml,4.01
558,Azathioprine   50 mg,1 tablet,9.89
559,Betaxolol   .50 w/v,1 ml,6.59
560,Bleomycin   15 mg,1 ml,616.06
561,Carbimazole   10 mg,1 tablet,3.43
562,Chloroquine Phosphate   500 mg,5 tablet,7
563,Clomiphene Citrate   100 mg,1 tablet,12.18
564,Colchicine   0.5 mg,1 tablet,2.88
565,Cyclophosphamide   50 mg,1 tablet,3.75
566,Cyclosporine   50 mg,1 capsule,48.26
567,Cyclosporine   25 mg,1 capsule,24.75
568,Danazol   100 mg,1 capsule,20.33
569,Danazol   50 mg,1 capsule,9.37
570,Diethyl Carbamazine Citrate   50 mg,1 tablet,0.47
571,Digoxin   0.25 mg,1 tablet,1.26
572,Diltiazem   30 mg,1 tablet,2.27
573,Dobutamine   50 mg,1 ml,65.42
574,Domperidone (SR)   1 mg,1 ml,1.03
575,Esmolol   10 mg,1 ml,20.51
576,Ethambutol   400 mg,1 tablet,2.17
577,Ethambutol   600 mg,1 tablet,3.15
578,Ethambutol   800 mg,1 tablet,3.74
579,Fentanyl   50 mcg,1 ml,20.26
580,Folic Acid lP   5 mg,1 tablet,1.15
581,Glibenclamide   2.5 mg,1 tablet,0.48
582,Glibenclamide IP   5 mg,1 t,0.96
583,Glucagon   1 mg,1 ml,788.33
584,Glyceryl Trinitrate   5 mg,1 m,7.53
585,Glyceryl Trinitrate   0.5 mg,1 tablet,1.85
586,Imatinib   400 mg,1 mg,268.33
587,Imipramine   25 mg,1 tablet,0.75
588,Imipramine   75 mg,1 tablet,2
589,Indinavir   400 mg,1 caosule,19.41
590,Isosorbide 5 Mononitrate   10 mg,1 tablet,1.92
591,Isosorbide 5 Mononitrate   20 mg,1 tablet,3.29
592,Ketamine Hcl   50 mg,1 ml,10.46
593,Leflunomide   20 mg,1 tablet,28.63
594,Lithium Carbonate   300 mg,1 tablet,1.41
595,Lorazepam   2 mg,1 ml,7.39
596,Losartan Potassium   50 mg,1 table,4.3
597,Losartan Potassium   25 mg,1 tablet,2.5
598,Mefloquine   250 mg,1 tablet,50.06
599,Methotrexate   5 mg,1 tablet,7.6
600,Methotrexate   2.5 mg,1 tablet,4.72
601,Methotrexate   7.5 mg,1 tablet,11.27
602,Methylergometrine   .125 mg,1 tablet,7.14
603,Metoclopramide   5 mg,1 ml,2.09
604,Metoclopramide   10 mg,1 tablet,1.04
605,Hydrochlorothiazide   112.5 mg,1 tablet,0.97
606,Hydrochlorothiazide   25 mg,1 tablet,1.66
607,Folic Acid IP   5 mg,1 tablet,1.15
608,Nifedipine   10 mg,1 capsule,1.18
609,Nifedipine   10 mg,1 tablet,1.13
610,Norethisterone   5 mg,1 tablet,5.07
611,Ofloxacin   10 mg,1 ml,0.67
612,Olanzapine   5 mg,1 tablet,2.9
613,Ondansetron   8 mg,1 tablet,11.07
614,Oxytocin   10 iu,1 ml,37.7
615,Paracetamol   150 mg,1 ml,3.29
616,Penicillamine   250 mg,1 capsule,13.12
617,Phenobarbitone   60 mg,1 tablet,1.69
618,Phenytoin Sodium   50 mg,1 tablet,0.77
619,Povidone Iodine   0.05 mg,1 ml,0.39
620,Pyrazinamide   500 mg,1 tablet,3.77
621,Quinine Sulphate   300 mg,1 tablet,5.1
622,Quiniodochlor   250 mg,20 tablet,17.79
623,Raloxifene   60 mg,1 tablet,9.89
624,Rifampicin   150 mg,10 capsule,33.1
625,Tamoxifen   20 mg,1 tablet,2.77
626,Testosterone   40 mg,1 capsule,10.96
627,Warfarin   5 mg,1 tablet,2.24
628,Medroxy Progesterone Acetate   10 mg,1 tablet,5.24
629,Amitriptyline   25 mg,1 Tablet,2.12
630,Ampicillin   25 mg,10 ml,0.63
631,Azithromycin   500 mg,1 tablet,19.86
632,Atracurium Besilate   10 mg,1 ml,45.28
633,Atenolol   100 mg,10 tablet,3.72
634,Ceftazidime   250 mg,1 ml,63.4
635,Clofazimine   100 mg,1 capsule,1.28
636,Aspirin   75 mgTiclopidine   250 mg,10 Tablet,19.28
637,Aspirin   75 mgClopidogrel   75 mg,10 Tablet,24.74
638,Aspirin   150 mgClopidogrel   75 mg,10 Tablet,24.96
639,Aspirin   162.5 mgClopidogrel   75 mg,10 Tablet,25
640,Aspirin   75 mgClopidogrel   75 mg,10 Capsule,26.8
641,Aspirin   150 mgClopidogrel   75 mg,10 Capsule,27.22
642,Aspirin   25 mgDipyridamole   200 mg,10 Capsule,19.33
643,Aspirin   40 mgDipyridamole   75 mg,10 Tablet,5.04
644,Aspirin   60 mgDipyridamole   75 mg,10 Tablet,5.1
645,Aspirin   150 mgIsosorbide Mononitrate   60 mg,10 Tablet,13.54
646,Aspirin   75 mgIsosorbide Mononitrate   30 mg,10 Tablet,9.12
647,Aspirin   75 mgIsosorbide Mononitrate   30 mg,10 Capsule,9.44
648,Aspirin   75 mgIsosorbide Mononitrate   60 mg,10 Capsule,13.22
649,Aspirin   150 mgIsosorbide Mononitrate   60 mg,10 Capsule,6.48
650,Aspirin   150 mgAtorvastatin   10 mg,10 Capsule,19.51
651,Aspirin   75 mgAtorvastatin   10 mg,10 Capsule,36.82
652,Aspirin   350 mgCaffeine   20 mg,10 Tablet,3.32
653,Betamethasone   0.1% w/vNeomycin   0.5% w/v,5 ml,8
654,Vit E   268 mgVit C   150 mg,10 Capsule,11.88
655,Vit E   268 mgCod Liver Oil   300 mg,10 Capsule,11.7
656,Vit A   50000 iuVit E   25 mg,10 Capsule,6.52
657,Trimethoprim   20 mgSulphamethoxazole    100 mg,15 ml,9.4
658,Trimethoprim   180 mgSulphadiazine   820 mg,6 Tablet,6.98
659,Trimethoprim   90 mgSulphadiazine   410 mg,10 Tablet,6.01
660,Trimethoprim   160 mgSulphamethoxazole    800 mg,10 Tablet,13.75
661,Trimethoprim   40 mgSulphamethoxazole    200 mg,50 ml,12.9
662,Trimethoprim   40 mgSulphamethoxazole    200 mg,60 ml,9.84
663,Trimethoprim   40 mgSulphamethoxazole    200 mg,100 ml,13.46
664,Trimethoprim   80 mgSulphamethoxazole    400 mg,10 Tablet,53.38
665,Trimethoprim   20 mgSulphamethoxazole    100 mg,10 Tablet,16.16
666,Theophylline   26.67 mgAlcohol   0.53 ml,200 ml,20.34
667,Theophylline   138 mgEtophylline   462 mg,10 Tablet,8.14
668,Betamethasone Sodium Phosphate   0.1% w/vGentamicin Sulphate   0.3% w/v,5 ml,10.23
669,Betamethasone Sodium Phosphate   0.1% w/vGentamicin Sulphate   0.3% w/v,0.3 ml,2.55
670,Theophylline   100 mgSalbutamol   2 mg,100 ml,14.59
671,Betamethasone   0.05% Salicylic Acid   3% ,10 gm,7.23
672,Betamethasone   0.05% w/wGentamicin   0.1% w/w,10 gm,6.84
673,Betamethasone   0.05% w/wGentamicin   0.1% w/w,20 gm,10.78
674,Betamethasone   0.05% w/wGentamicin   0.1% w/w,15 gm,8.92
675,Betamethasone   0.64 mgGentamicin   1 mg,20 gm,10.74
676,Theophylline   30 mgEphedrine   6 mg,60 ml,11.32
677,Theophylline   200 mgSalbutamol   4 mg,10 Capsule,6.58
678,Theophylline   200 mgKetotifen Fumarate   1 mg,10 Tablet,7.26
679,Theophylline   300 mgTerbutaline   5 mg,10 Tablet,7.18
680,Theophylline   100 mgTerbutaline   2.5 mg,10 Tablet,2.78
681,Theophylline   104 mgEtophylline   346 mg,10 Tablet,7.82
682,Theophylline   69 mgEtophylline   231 mg,10 Tablet,6.12
683,Theophylline   35 mgEtophylline   115 mg,10 Tablet,4.06
684,Theophylline   23 mgEtophylline   77 mg,10 Tablet,2.07
685,Theophylline   14 mgEtophylline   46.5 mg,100 ml,14.39
686,Theophylline   84.7 mgEtophylline   25.3 mg,2 ml,3.53
687,Theophylline   300 mgSalbutamol   4 mg,10 Tablet,5.46
688,Theophylline   100 mgSalbutamol   2 mg,100 ml,12.28
689,Theophylline   130 mgEphedrine   24 mg,10 Tablet,3.32
690,Salbutamol   4 mgTheophylline   200 mg,10 Tablet,3.34
691,Salbutamol   2 mgTheophylline   100 mg,10 Tablet,2.02
692,Aspirin   150 mgIsosorbide 5 Mononitrate   30 mg,10 Tablet,12.4
693,Tetracycline   1% w/wHydrocortisone Acetate   1% w/w,3 gm,7.22
694,Tetracycline   333 mgMetronidazole   400 mg,10 Tablet,10.06
695,Betamethasone   0.05% Neomycin   0.50% ,10 gm,6.88
696,Betamethasone   0.05% Clotrimazole   1% ,10 gm,6.84
697,Betamethasone   0.05% w/wNeomycin   0.5% w/w,15 gm,8.96
698,Betamethasone   0.05% Clotrimazole   1% ,15 ml,9.24
699,Betamethasone   0.1% w/wClioquinol   3% ,30 gm,20.16
700,Betamethasone   0.025% w/wNeomycin   0.5% w/w,15 gm,7.98
701,Betamethasone Valerate   0.12% w/wNeomycin   0.5% w/w,20 gm,17.13
702,Betamethasone   0.05% w/wMupirocin   2% w/w,5 gm,25.58
703,Betamethasone   0.05% w/wSalicylic Acid   6% w/w,20 gm,10.85
704,Betamethasone   0.12% w/wSalicylic Acid   2% w/w,30 gm,26.07
705,Betamethasone   0.64 mgGentamicin Sulphate   1 mg,20 gm,10.4
706,Betamethasone   0.05% Salicylic Acid   3% ,20 gm,10.38
707,Betamethasone Valerate   1 mgFusidic Acid   20 mg,10 gm,27.56
708,Betamethasone   0.05% w/wNeomycin   0.5% w/w,16 gm,9.34
709,Betamethasone   0.05% w/wClotrimazole   1% w/w,7 gm,6.26
710,Sulphadoxine   250 mgPyrimethamine   12.5 mg,10 ml,9.09
711,Sulphadoxine   100 mgPyrimethamine   50 mg,1 Tablet,3.2
712,Sulphadoxine   750 mgPyrimethamine   37.5 mg,2 Tablet,4.88
713,Sulphadoxine   500 mgPyrimethamine   25 mg,2 Tablet,3.48
714,Betamethasone Valerate   0.1% w/wChlorocresol   0.1% w/w,30 gm,22.98
715,Betamethasone   0.05% w/vClotrimazole   1% w/v,16 ml,8.98
716,Silver Sulphadiazine   1% w/wChlorhexadine Gluconate   0.5% w/w,10 gm,36.1
717,Silver Sulphadiazine   1% w/wChlorhexadine Gluconate   0.5% w/w,15 gm,7.4
718,Silver Sulphadiazine   1% w/wChlorhexadine Gluconate   0.5% w/w,10 gm,6.86
719,Silver Sulphadiazine   1% w/wChlorhexidine   0.2% w/w,15 gm,8.16
720,Silver Sulphadiazine   1% w/wChlorhexadine Gluconate   0.2% w/w,250 gm,87.04
721,Silver Sulphadiazine   1% w/wChlorhexidine   0.2% w/w,100 gm,35.92
722,Silver Sulphadiazine   1% w/wChlorhexadine Gluconate   0.2% w/w,20 gm,8.82
723,Silver Sulphadiazine   1% w/wChlorhexidine   0.2% w/w,10 gm,6.06
724,Silver Sulphadiazine   1% w/wChlorhexadine Gluconate   0.2% w/w,5 gm,4.56
725,Betamethasone   0.05% w/wZinc Sulphate   2.5% w/w,15 gm,9.71
726,Betamethasone   0.05% w/wGentamicin Sulphate   0.1% w/w,30 gm,14.12
727,Spironolactone   100 mgTorasemide   10 mg,10 Tablet,48.04
728,Spironolactone   50 mgFurosemide   20 mg,10 Tablet,24.66
729,Spironolactone   50 mgFurosemide   40 mg,10 Tablet,23.29
730,Spironolactone   25 mgHydroflumethiazide   25 mg,10 Tablet,11.44
731,Spironolactone   25 mgFurosemide   20 mg,10 Tablet,18.85
732,Betamethasone   0.5 mgCalcipotriol   50 mcg,15 gm,1166.88
733,Captopril   25 mgHydrochlorothiazide   25 mg,10 Tablet,2.97
734,Captopril   25 mgHydrochlorothiazide   15 mg,10 Tablet,3.1
735,Cefadroxil   125 mgAmbroxol   15 mg,10 Tablet,8.26
736,Cefadroxil   250 mgAmbroxol   30 mg,10 Tablet,15.64
737,Cefadroxil   500 mgAmbroxol   30 mg,10 Tablet,28.6
738,Cefadroxil   500 mgAmbroxol   30 mg,10 Capsule,36.84
739,Cefadroxil   500 mgAmbroxol   45 mg,4 Tablet,11.9
740,Cefadroxil   125 mgProbenecid   125 mg,6 Tablet,6.85
741,Cefadroxil   250 mgProbenecid   250 mg,6 Tablet,11.76
742,Cefadroxil   500 mgProbenecid   500 mg,6 Tablet,22.66
743,Cefadroxil   125 mgLactic Acid Bacillus   30 million spores,10 Tablet,8.36
744,Cefadroxil   125 mgLactic Acid Bacillus   60 million spores,10 Tablet,8.46
745,Cefadroxil   250 mgLactic Acid Bacillus   60 million spores,10 Tablet,15.74
746,Cefadroxil   500 mgLactic Acid Bacillus   60 million spores,10 Tablet,30.04
747,Cefadroxil   500 mgLactic Acid Bacillus   60 million spores,6 Capsule,19.96
748,Cefotaxime Sodium   1000 mgSulbactam Sodium   500 mg,1 Vial,32.46
749,Cefotaxime Sodium   500 mgSulbactam Sodium   250 mg,1 Vial,18.12
750,Cefotaxime Sodium   250 mgSulbactam   125 mg,1 Vial,13.42
751,Chloroquine   250 mgParacetamol   250 mg,10 Tablet,7.23
752,Chlorpromazine   100 mgTrihexiphenidyl   2 mg,10 Tablet,7.49
753,Salbutamol   2 mgBromhexine   4 mg,100 ml,13.72
754,Chlorpromazine   200 mgTrihexiphenidyl   2 mg,10 Tablet,12.84
755,Salbutamol   2 mgBromhexine   4 mg,50 ml,9.38
756,Salbutamol   2 mgBromhexine   4 mg,60 ml,10.16
757,Salbutamol   1 mgBromhexine   4 mg,30 ml,7.24
758,Salbutamol   1 mgBromhexine   4 mg,100 ml,12.9
759,Salbutamol   2 mgGuaiphenesin   100 mg,120 ml,11.16
760,Salbutamol   1 mgGuaiphenesin   50 mg,100 ml,8.99
761,Salbutamol   2 mgAmbroxol   30 mg,100 ml,14.48
762,Salbutamol   2 mgAmbroxol   30 mg,50 ml,9.78
763,Salbutamol   2 mgAmbroxol   30 mg,60 ml,11.55
764,Salbutamol   1 mgAmbroxol   15 mg,100 ml,12.86
765,Salbutamol   2.5 mgBudesonide   0.5 mg,2.5 ml,4.1
766,Salbutamol   2.5 mgBudesonide   1 mg,2.5 ml,4.38
767,Salbutamol   100 mcgBeclomethasone   50 mcg,200 MTD,132.69
768,Salbutamol   1 mgTheophylline   50 mg,100 ml,26.39
769,Salbutamol   1 mgTheophylline   50 mg,30 ml,7.55
770,Ciprofloxacin   0.3% Dexamethasone   0.1% ,5 ml,7.82
771,Ciprofloxacin   250 mgTinidazole   300 mg,10 Tablet,34.64
772,Ciprofloxacin   500 mgTinidazole   600 mg,10 Tablet,67.94
773,Ciprofloxacin   2 mgSodium Chloride   0.9% w/v,100 ml,17.76
774,Ciprofloxacin   2 mgSodium Chloride   0.9% w/v,200 ml,31.08
775,Ciprofloxacin   2 mgDextrose   5% w/v,200 ml,31.08
776,Ciprofloxacin   125 mgTinidazole   150 mg,30 ml,14.56
777,Ciprofloxacin   125 mgTinidazole   150 mg,60 ml,26.14
778,Ciprofloxacin   500 mgOrnidazole   500 mg,10 Tablet,52.56
779,Ciprofloxacin   250 mgTinidazole   300 mg,60 ml,25.74
780,Cloxacillin   250 mgAmoxycillin   250 mg,6 Capsule,22.3
781,Cloxacillin   125 mgAmoxycillin   125 mg,10 Tablet,12.51
782,Amoxycillin Sodium   1000 mgCloxacillin Sodium   1000 mg,1 Vial,22.63
783,Cloxacillin   1500 mgAmoxycillin   1500 mg,1 Vial,30.78
784,Cloxacillin Sodium   250 mgAmoxycillin Sodium   250 mg,1 Vial,9.26
785,Cloxacillin Sodium   125 mgAmoxycillin Sodium   125 mg,1 Vial,6.48
786,Cloxacillin Sodium   500 mgAmoxycillin Sodium   500 mg,1 Vial,15.16
787,Ampicillin   250 mgCloxacillin   250 mg,10 Capsule,24.38
788,Cloxacillin   125 mgAmpicillin   125 mg,10 Capsule,14.08
789,Cloxacillin   125 mgAmpicillin   125 mg,10 Tablet,10.3
790,Ampicillin   50 mgCloxacillin   25 mg,1 Vial,9.87
791,Cloxacillin   125 mgAmpicillin   125 mg,1 Vial,10.97
792,Cloxacillin   250 mgAmpicillin   250 mg,1 Vial,12.65
793,Cloxacillin   500 mgAmpicillin   500 mg,1 Vial,16.89
794,Cloxacillin Sodium   75 mgAmpicillin Sodium   25 mg,1 Vial,5.8
795,Cloxacillin   125 mgAmpicillin   125 mg,30 ml,13.5
796,Cloxacillin   125 mgAmpicillin   125 mg,60 ml,20.42
797,Cloxacillin   250 mgAmoxycillin   250 mg,10 Tablet,19.1
798,Ampicillin   500 mgCloxacillin   500 mg,4 Capsule,14.44
799,Cloxacillin   50 mgAmpicillin   100 mg,10 ml,10.02
800,Cloxacillin   125 mgAmoxycillin   125 mg,30 ml,10.66
801,Cloxacillin   125 mgAmoxycillin   125 mg,60 ml,16.6
802,Cloxacillin   62.5 mgAmpicillin   62.5 mg,30 ml,7.98
803,Dexamethasone   0.1% w/vGentamicin   0.3% w/v,5 ml,8.06
804,Dexamethasone   0.1% Chloramphenicol   1% ,5 ml,8
805,Dexamethasone   0.1% Ciprofloxacin   0.3% ,5 ml,7.82
806,Salbutamol   1 mgCholine Theophylline   50 mg,50 ml,9.97
807,Salbutamol   1 mgCholine Theophyllinate   50 mg,60 ml,9.32
808,Salbutamol   2 mgEtophylline   50 mg,100 ml,12.66
809,Salbutamol   1 mgEtophylline   50 mg,100 ml,12.4
810,Levosalbutamol (Levalbuterol)   1.25 mgIpratropium   500 mcg,2.5 ml,4.12
811,Salbutamol   2.5 mgIpratropium   500 mcg,2.5 ml,3.88
812,Theophylline   100 mgSalbutamol   2 mg,100 ml,14.59
813,Salbutamol   1 mgCholine Theophyllinate   50 mg,100 ml,12.48
814,Salbutamol   2 mgCholine Theophyllinate   100 mg,100 ml,12.46
815,Salbutamol   2 mgGuaiphenesin   100 mg,100 ml,8.64
816,Salbutamol   100 mcgIpratropium Bromide   20 mcg,200 MTD,74.07
817,Salbutamol   400 mcgBeclomethasone   200 mcg,30 Rotacap,16.39
818,Salbutamol   200 mcgIpratropium   40 mcg,30 Rotacap,16.16
819,Salbutamol   200 mcgBeclomethasone   100 mcg,30 Rotacap,15.06
820,Salbutamol   100 mcgBeclomethasone   50 mcg,200 MTD,108.31
821,Levosalbutamol (Levalbuterol)   100 mcgBeclomethasone   100 mcg,30 Rotacap,17.2
822,Levosalbutamol (Levalbuterol)   100 mcgIpratropium Bromide   40 mcg,30 Rotacap,14.88
823,Levosalbutamol (Levalbuterol)   50 mgIpratropium   20 mg,200 MTD,88.16
824,Salbutamol   4 mgTheophylline   200 mg,10 Capsule,6.58
825,Salbutamol   4 mgTheophylline   200 mg,10 Tablet,4.46
826,Dexamethasone   1 mgTobramycin   3 mg,5 ml,11.14
827,Dexamethasone Sodium Phosphate   0.1% w/vTobramycin   0.3% w/v,5 ml,9.62
828,Dexamethasone Sodium Phosphate   0.1% Chloramphenicol   0.5% ,5 ml,7.8
829,Dexamethasone   0.1% w/vGentamicin   0.3% w/v,10 ml,10.16
830,Salbutamol   4 mgEtophylline   200 mg,10 Tablet,3.68
831,Salbutamol   2 mgEtophylline   100 mg,10 Tablet,2.48
832,Dexamethasone Sodium Phosphate   0.1% w/vNeomycin   0.5% w/v,10 ml,9.72
833,Salbutamol   400 mcgBeclomethasone   200 mcg,8 Tablet,2.48
834,Salbutamol   4 mgTheophylline   200 mg,10 Tablet,3.34
835,Salbutamol   2 mgTheophylline   100 mg,10 Tablet,2.02
836,Salbutamol   2 mgBromhexine   8 mg,10 Tablet,1.7
837,Salbutamol   4 mgBromhexine   4 mg,10 Tablet,1.62
838,Dexamethasone   0.1% Atropine Sulphate   1% ,5 ml,8.2
839,Dexamethasone   0.1% w/vCiprofloxacin   0.3% w/v,10 ml,9.9
840,Tobramycin   0.1% w/wDexamethasone   0.3% w/w,3 gm,4.84
841,Dexamethasone   1 mgMoxifloxacin   5 mg,5 ml,12.21
842,Dexamethasone   1 mgMoxifloxacin   5 mg,10 ml,17.84
843,Dexamethasone   1 mgGatifloxacin   3 mg,5 ml,10.63
844,Dexamethasone   0.1% w/vGatifloxacin   0.3% w/v,5 ml,7.48
845,Dexamethasone Sodium Phosphate   0.1% w/vPhenyl Mercuric Nitrate   0.001% w/v,10 ml,11.06
846,Dexibuprofen   300 mgParacetamol   500 mg,10 Tablet,14.7
847,Dextropropoxyphene   65 mgParacetamol   325 mg,10 Tablet,6.26
848,Dextropropoxyphene   65 mgParacetamol   400 mg,10 Tablet,8.76
849,Dextropropoxyphene   32 mgParacetamol   350 mg,100 Capsule,62.72
850,Dextropropoxyphene   32.5 mgIbuprofen   200 mg,8 Capsule,6.62
851,Dextropropoxyphene   65 mgParacetamol   650 mg,10 Tablet,9.94
852,Dextropropoxyphene   65 mgAcetaminophen   400 mg,8 Capsule,9.58
853,Dextropropoxyphene   65 mgIbuprofen   400 mg,6 Capsule,7.78
854,Diosmin   450 mgMethyl Hesperdin   50 mg,10 Tablet,35.58
855,Doxycycline   100 mgTinidazole   600 mg,10 Tablet,11.52
856,Doxycycline Monohydrate   100 mgLactic Acid Bacillus   60 million,10 Tablet,7.08
857,Doxycycline   100 mgOrnidazole   500 mg,10 Tablet,18.34
858,Doxycycline   100 mgSerratiopeptidase   10 mg,10 Tablet,8.8
859,Doxycycline   100 mgAmbroxol   30 mg,10 Tablet,7.6
860,Doxycycline   100 mgSerratiopeptidase   15 mg,10 Tablet,9.98
861,Doxycycline Hyclate   100 mgLactic Acid Bacillus   60 million spores,8 Capsule,7.18
862,Erythromycin   4% Zinc Acetate   2% ,15 gm,10.36
863,Pseudoephedrine   60 mgTriprolidine   2.5 mg,10 Tablet,5.98
864,Pseudoephedrine   120 mgCetirizine   5 mg,10 Tablet,6.42
865,Pseudoephedrine   120 mgFexofenadine   60 mg,10 Tablet,23
866,Pseudoephedrine   120 mgDesloratadine   2.5 mg,10 Tablet,6.01
867,Pseudoephedrine   120 mgTerfenadine   60 mg,10 Tablet,11.82
868,Pseudoephedrine   120 mgCetirizine   5 mg,10 Tablet,7.08
869,Ephedrine   24 mgTheophylline   130 mg,10 Tablet,3.18
870,Rifampicin   150 mgIsoniazid   100 mg,6 Tablet,10.35
871,Rifampicin   300 mgIsoniazid   150 mg,10 Tablet,24.56
872,Bromhexine   8 mgPseudoephedrine   60 mg,15 Tablet,5
873,Cetirizine   10 mgPseudoephedrine   60 mg,10 Tablet,4.4
874,Pseudoephedrine   30 mgCetirizine   10 mg,10 Tablet,2.94
875,Pseudoephedrine   60 mgCetirizine   5 mg,10 Tablet,3.8
876,Pseudoephedrine   180 mgFexofenadine   120 mg,10 Tablet,41.38
877,Theophylline   30 mgEphedrine   6 mg,60 ml,11.32
878,Rifampicin   600 mgIsoniazid   300 mg,10 Tablet,64.07
879,Rifampicin   450 mgIsoniazid   300 mg,10 Tablet,51.58
880,Rifampicin   150 mgIsoniazid IP   75 mg,6 Tablet,10.79
881,Rifampicin   100 mgIsoniazid   100 mg,10 Tablet,13.59
882,Rifampicin   100 mgIsoniazid   50 mg,10 Tablet,11.73
883,Rifampicin   60 mgIsoniazid IP   30 mg,6 Tablet,5.13
884,Rifampicin   450 mgIsoniazid   300 mg,10 Capsule,49.36
885,Ranitidine   150 mgCisapride   10 mg,10 Tablet,6.95
886,Ranitidine   25 mgOndansetron   2 mg,2 ml,2.72
887,Ranitidine   150 mgOndansetron   4 mg,10 Tablet,5.41
888,Etophylline   77 mgTheophylline   23 mg,100 ml,11.92
889,Etophylline   50 mgTerbutaline Sulphate   1.25 mg,100 ml,15.02
890,Etophylline   462 mgTheophylline   138 mg,10 Tablet,9.39
891,Etophylline   100 mgTerbutaline Sulphate   2.5 mg,10 Tablet,3.65
892,Famotidine   20 mgDomperidone   10 mg,10 Tablet,2.66
893,Famotidine   20 mgDiclofenac Sodium   50 mg,10 Tablet,2.29
894,Famotidine   20 mgMagaldrate   400 mg,10 Tablet,3.26
895,Framycetin Sulphate   1% w/wDexamethasone   0.1% w/w,20 gm,20.54
896,Dexamethasone Sodium Phosphate   0.12% Framycetin Sulphate   1% ,5 ml,14.18
897,Frusemide (Furosemide)   40 mgAmiloride   5 mg,10 Tablet,5.18
898,Frusemide (Furosemide)   40 mgPotassium Chloride   600 mg,10 Tablet,3.83
899,Frusemide (Furosemide)   20 mgTriamterene   50 mg,10 Tablet,3.12
900,Frusemide (Furosemide)   40 mgTriamterene   50 mg,10 Tablet,3.34
901,Furazolidone   100 mgMetronidazole   300 mg,10 Capsule,8
902,Furazolidone   100 mgMetronidazole   300 mg,10 Tablet,4.72
903,Furazolidone   100 mgMetronidazole   400 mg,10 Tablet,6.82
904,Furazolidone   100 mgLoperamide   2 mg,4 Capsule,2.36
905,Furazolidone   100 mgLoperamide   2 mg,10 Tablet,2.4
906,Furazolidone   25 mgMetronidazole   75 mg,60 ml,8.3
907,Furazolidone   30 mgMetronidazole   100 mg,50 ml,7.66
908,Furazolidone   30 mgMetronidazole   100 mg,60 ml,8.78
909,Furazolidone   30 mgMetronidazole   160 mg,60 ml,9.88
910,Furazolidone   40 mgMetronidazole   100 mg,50 ml,7.72
911,Furazolidone   40 mgMetronidazole   200 mg,60 ml,11.28
912,Ranitidine   150 mgDrotaverine   40 mg,10 Tablet,8.28
913,Ranitidine   150 mgMagaldrate   200 mg,10 Tablet,4.34
914,Ranitidine   150 mgDomperidone   15 mg,10 Tablet,5.16
915,Ranitidine   150 mgDomperidone   10 mg,10 Tablet,5.41
916,Ranitidine   150 mgDicyclomine (Dicycloverine)   10 mg,10 Tablet,4.6
917,Pyrantal Pamoate   100 mgMebendazole   150 mg,2 Tablet,4.46
918,Phenylbutazone   200 mgLignocaine   10 mg,3 ml,15.12
919,Pentazocine   15 mgParacetamol   500 mg,10 Tablet,10.42
920,Procaine Pencillin   3000000 unitsBenzyl Penicillin Sodium   1000000 units,1 Vial,16.9
921,Procaine Pencillin   1500000 unitsPencillin G Sodium   500000 units,1 Vial,9.92
922,Oxytetracycline   50 mgLidocaine   2% ,20 ml,13.2
923,Naproxen   300 mgParacetamol   500 mg,10 Tablet,17.65
924,Norfloxacin   0.3% w/wBenzalkonium Chloride   0.01% ,10 gm,6.2
925,Norfloxacin   400 mgMetronidazole   500 mg,10 Tablet,15.14
926,Norfloxacin   100 mgOrnidazole   125 mg,30 ml,9.42
927,Norfloxacin   100 mgMetronidazole   100 mg,60 ml,13.9
928,Norfloxacin   100 mgMetronidazole   100 mg,30 ml,12.45
929,Norfloxacin   100 mgTinidazole   75 mg,30 ml,8.6
930,Norfloxacin   100 mgTinidazole   100 mg,50 ml,11.46
931,Norfloxacin   100 mgTinidazole   100 mg,30 ml,8.72
932,Norfloxacin   100 mgMetronidazole   100 mg,10 Tablet,4.14
933,Norfloxacin   400 mgOrnidazole   500 mg,10 Tablet,17.22
934,Norfloxacin   400 mgMetronidazole   600 mg,10 Tablet,15.46
